_id,url
ObjectId(5874c37925149736a833a982),http://bj.58.com/shouji/28442392361395x.shtml
ObjectId(5874c37925149736a833a983),http://bj.58.com/shouji/28442245638863x.shtml
ObjectId(5874c37925149736a833a984),http://bj.58.com/shouji/28311743429063x.shtml
ObjectId(5874c37925149736a833a985),http://bj.58.com/shouji/28236325865914x.shtml
ObjectId(5874c37925149736a833a986),http://bj.58.com/shouji/28325404008113x.shtml
ObjectId(5874c37925149736a833a987),http://bj.58.com/shouji/28365312322474x.shtml
ObjectId(5874c37925149736a833a988),http://bj.58.com/shouji/28540793029684x.shtml
ObjectId(5874c37925149736a833a989),http://bj.58.com/shouji/28540806513981x.shtml
ObjectId(5874c38125149736a833a98a),http://bj.58.com/shouji/25548039114937x.shtml
ObjectId(5874c38125149736a833a98b),http://bj.58.com/shouji/28452378933558x.shtml
ObjectId(5874c38125149736a833a98c),http://bj.58.com/shouji/28452450876980x.shtml
ObjectId(5874c38125149736a833a98d),http://bj.58.com/shouji/28453267300304x.shtml
ObjectId(5874c38125149736a833a98e),http://bj.58.com/shouji/28453287582774x.shtml
ObjectId(5874c38125149736a833a98f),http://bj.58.com/shouji/28451335962190x.shtml
ObjectId(5874c38125149736a833a990),http://bj.58.com/shouji/28451585445306x.shtml
ObjectId(5874c38125149736a833a991),http://bj.58.com/shouji/28352962424652x.shtml
ObjectId(5874c38125149736a833a992),http://bj.58.com/shouji/28344051590578x.shtml
ObjectId(5874c38125149736a833a993),http://bj.58.com/shouji/28325301638605x.shtml
ObjectId(5874c38125149736a833a994),http://bj.58.com/shouji/28352978683703x.shtml
ObjectId(5874c38125149736a833a995),http://bj.58.com/shouji/25468877573190x.shtml
ObjectId(5874c38125149736a833a996),http://bj.58.com/shouji/28299150451128x.shtml
ObjectId(5874c38125149736a833a997),http://bj.58.com/shouji/28441488895806x.shtml
ObjectId(5874c38125149736a833a998),http://bj.58.com/shouji/28441554287661x.shtml
ObjectId(5874c38125149736a833a999),http://bj.58.com/shouji/28441468572747x.shtml
ObjectId(5874c38125149736a833a99a),http://bj.58.com/shouji/28434039773891x.shtml
ObjectId(5874c38125149736a833a99b),http://bj.58.com/shouji/28441243026492x.shtml
ObjectId(5874c38125149736a833a99c),http://bj.58.com/shouji/28441424761535x.shtml
ObjectId(5874c38125149736a833a99d),http://bj.58.com/shouji/28441508254251x.shtml
ObjectId(5874c38125149736a833a99e),http://bj.58.com/shouji/28441296941358x.shtml
