_id,date,url,title,price
ObjectId(5874c407251497514085c391),2016-12-13,http://bj.58.com/shouji/28311743429063x.shtml,"【图】
        本人出售二手苹果6s - 北京二手手机 - 北京58同城",2480
ObjectId(5874c407251497470c220fd4),2016-12-30,http://bj.58.com/shouji/28552782447563x.shtml,"【图】
        TCL全键盘手机转让买就送 - 北京二手手机 - 北京58同城",60
ObjectId(5874c4072514974aa01916b6),2016-12-25,http://bj.58.com/shouji/28491420647739x.shtml,"【图】
        苹果6Splus 全国联保 支持验机 配件齐全 - 北京二手手机 - 北京58同城",3000
ObjectId(5874c40725149736a833af71),2017-01-10,http://bj.58.com/shouji/28654701934922x.shtml,"【图】
        转让苹果iphone se 16G - 北京二手手机 - 北京58同城",2000
ObjectId(5874c407251497514085c392),2016-12-13,http://bj.58.com/shouji/28236325865914x.shtml,"【图】
        低价转让自用白色国行iphone 6plus 128G - 北京二手手机 - 北京58同城",3200
ObjectId(5874c408251497470c220fd5),2016-12-30,http://bj.58.com/shouji/28552700385222x.shtml,"【图】
        苹果6S国行银色 支持验机 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c4082514974aa01916b7),2016-12-25,http://bj.58.com/shouji/28496825739052x.shtml,"【图】
        苹果6plus 国行 没修过 二手正品行货 - 北京二手手机 - 北京58同城",1500
ObjectId(5874c40825149736a833af72),2016-12-19,http://bj.58.com/shouji/28434703079087x.shtml,"【图】
        银色 苹果 iPhone6 16GB 国行 - 北京二手手机 - 北京58同城",2300
ObjectId(5874c408251497470c220fd6),2016-12-30,http://bj.58.com/shouji/28552912427839x.shtml,"【图】
        苹果6 正品行货 16G 支持验机 - 北京二手手机 - 北京58同城",1300
ObjectId(5874c408251497514085c393),2016-12-13,http://bj.58.com/shouji/28325404008113x.shtml,"【图】
        出售二手苹果6s - 北京二手手机 - 北京58同城",2480
ObjectId(5874c4082514974aa01916b8),2017-01-10,http://bj.58.com/shouji/28502701854671x.shtml,"【图】
        苹果6SPlus，新机3480 - 北京二手手机 - 北京58同城",3480
ObjectId(5874c40825149736a833af73),2016-12-19,http://bj.58.com/shouji/28036588088618x.shtml,"【图】
        魅族魅蓝metal 32G - 北京二手手机 - 北京58同城",850
ObjectId(5874c408251497470c220fd7),2016-12-25,http://bj.58.com/shouji/28387324878635x.shtml,"【图】
        三星S6 9成新 全网通4G 国行 无拆修 有发票 - 北京二手手机 - 北京58同城",1400
ObjectId(5874c408251497514085c394),2016-12-13,http://bj.58.com/shouji/28365312322474x.shtml,"【图】
        主营各种品牌手机！做的是口碑！走的是数量！挣的是小钱！ - 北京二手手机 - 北京58同城",面议
ObjectId(5874c4082514974aa01916b9),2016-12-25,http://bj.58.com/shouji/28487132129455x.shtml,"【图】
        苹果6plus国行 配件齐全 支持验机 - 北京二手手机 - 北京58同城",1600
ObjectId(5874c40825149736a833af74),2016-12-19,http://bj.58.com/shouji/28431662414251x.shtml,"【图】
        iPhone 6p港版 - 北京二手手机 - 北京58同城",2499
ObjectId(5874c408251497470c220fd8),2016-12-25,http://bj.58.com/shouji/28387522156738x.shtml,"【图】
        苹果6 64G金 9成新 无拆修 无磕碰 国行 - 北京二手手机 - 北京58同城",1700
ObjectId(5874c408251497514085c395),2016-12-29,http://bj.58.com/shouji/28540793029684x.shtml,"【图】
        上门收售苹果7plus三星S7华为mate9oppoR9S苹果6Splus - 北京二手手机 - 北京58同城",6000
ObjectId(5874c40825149736a833af75),2017-01-03,http://bj.58.com/shouji/28596504750771x.shtml,"【图】
        本人Mate7移动版16G手机想换联通版的，有合适的联系 - 北京二手手机 - 北京58同城",700
ObjectId(5874c4082514974aa01916ba),2017-01-10,http://bj.58.com/shouji/28585609973292x.shtml,"【图】
        转让苹果手机4一部 - 北京二手手机 - 北京58同城",330
ObjectId(5874c409251497470c220fd9),2017-01-10,http://bj.58.com/shouji/28466550012355x.shtml,"【图】
        8848手机 - 北京二手手机 - 北京58同城",8000
ObjectId(5874c409251497514085c396),2016-12-29,http://bj.58.com/shouji/28540806513981x.shtml,"【图】
        上门收售三星S7华为P9苹果ipad小米手机苹果手机三星手机 - 北京二手手机 - 北京58同城",3600
ObjectId(5874c40925149736a833af76),2017-01-03,http://bj.58.com/shouji/28596589999538x.shtml,"【图】
        苹果6plus 国行 没修过 二手正品行货 - 北京二手手机 - 北京58同城",1500
ObjectId(5874c4092514974aa01916bb),2016-12-13,http://bj.58.com/shouji/28366478564290x.shtml,"【图】
        刚买不久换另款iphone6plus国行16G配件全 - 北京二手手机 - 北京58同城",2700
ObjectId(5874c409251497514085c397),2016-12-21,http://bj.58.com/shouji/25548039114937x.shtml,"【图】
        二手vivo x5 - 北京二手手机 - 北京58同城",600
ObjectId(5874c409251497470c220fda),2017-01-10,http://bj.58.com/shouji/28290426370496x.shtml,"【图】
        高价回收二手置换以旧换新(分期付款零利息)当面验机器尽在手机电脑商城旗舰店 - 北京二手手机 - 北京58同城",4800
ObjectId(5874c40925149736a833af77),2017-01-03,http://bj.58.com/shouji/27024473519673x.shtml,"【图】
        自用的mate8 64G 99新刚用一个月 底 - 北京二手华为手机 - 北京58同城",2999
ObjectId(5874c4092514974aa01916bc),2016-12-25,http://bj.58.com/shouji/28496891537096x.shtml,"【图】
        苹果6S 国行 全国联保 支持验机 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c409251497514085c398),2016-12-21,http://bj.58.com/shouji/28452378933558x.shtml,"【图】
        苹果6 国行二手95成新 支持验机 - 北京二手手机 - 北京58同城",1300
ObjectId(5874c4092514974aa01916bd),2016-12-25,http://bj.58.com/shouji/28496708430916x.shtml,"【图】
        苹果7 国行 128G 正品行货 - 北京二手手机 - 北京58同城",3500
ObjectId(5874c409251497470c220fdb),2017-01-10,http://bj.58.com/shouji/28353392800321x.shtml,"【图】
        全新苹果iPhone 7(分期付款零利息)支持二手置换以旧换新当天取机器手机商城旗舰店 - 北京二手手机 - 北京58同城",5200
ObjectId(5874c40925149736a833af78),2017-01-03,http://bj.58.com/shouji/28596661697205x.shtml,"【图】
        银色 苹果 iPhone6 16GB 国行 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c409251497514085c399),2016-12-21,http://bj.58.com/shouji/28452450876980x.shtml,"【图】
        苹果6S 64G 使用6个月 国行 全国联保 支持验机 - 北京二手手机 - 北京58同城",2500
ObjectId(5874c4092514974aa01916be),2016-12-25,http://bj.58.com/shouji/28496777023921x.shtml,"【图】
        苹果6 正品行货 16G 支持验机 - 北京二手手机 - 北京58同城",1300
ObjectId(5874c409251497470c220fdc),2017-01-10,http://bj.58.com/shouji/28244869886380x.shtml,"【图】
        全新苹果三星系列(分期付款零利息)支持二手置换以旧换新当面验机手机商城旗舰店 - 北京二手手机 - 北京58同城",6400
ObjectId(5874c40a25149736a833af79),2017-01-03,http://bj.58.com/shouji/26178731773227x.shtml,"【图】
        深空灰色 苹果 iPhone6 64GB 国行 - 北京二手iPhone6 - 北京58同城",3000
ObjectId(5874c40a251497514085c39a),2016-12-21,http://bj.58.com/shouji/28453267300304x.shtml,"【图】
        北京上门收售三星s7苹果6SP华为小米手机ipad平板电脑 - 北京二手手机 - 北京58同城",2600
ObjectId(5874c40a2514974aa01916bf),2017-01-10,http://bj.58.com/shouji/28502678327220x.shtml,"【图】
        苹果6S，3080新机 - 北京二手手机 - 北京58同城",3080
ObjectId(5874c40a251497470c220fdd),2017-01-10,http://bj.58.com/shouji/28630506733885x.shtml,"【图】
        转让苹果6一部 - 北京二手手机 - 北京58同城",1900
ObjectId(5874c40a251497514085c39b),2016-12-21,http://bj.58.com/shouji/28453287582774x.shtml,"【图】
        北京高价上门收售苹果6P华为小米三星s7ipad平板电脑 - 北京二手手机 - 北京58同城",2600
ObjectId(5874c40a25149736a833af7a),2017-01-03,http://bj.58.com/shouji/28596709417167x.shtml,"【图】
        实体店面 三星 苹果 分期付款0利息全新 优质二手原装 支持检查 - 北京二手手机 - 北京58同城",5800
ObjectId(5874c40a2514974aa01916c0),2016-12-25,http://bj.58.com/shouji/28496862285133x.shtml,"【图】
        中兴小鲜3 全网通 双4G盲插 双卡双待双通 全金属机身 指纹识别 土豪金 仅用几天 包装配件齐全 - 北京二手手机 - 北京58同城",400
ObjectId(5874c40a251497470c220fde),2017-01-10,http://bj.58.com/shouji/28668418543696x.shtml,"【图】
        苹果7puls - 北京二手手机 - 北京58同城",3888
ObjectId(5874c40a25149736a833af7b),2017-01-03,http://bj.58.com/shouji/28596604659910x.shtml,"【图】
        苹果6S 国行 全国联保 支持验机 - 北京二手手机 - 北京58同城",2000
ObjectId(5874c40a251497514085c39c),2016-12-21,http://bj.58.com/shouji/28451335962190x.shtml,"【图】
        金立M6PLSU - 北京二手手机 - 北京58同城",2000
ObjectId(5874c40a2514974aa01916c1),2016-12-25,http://bj.58.com/shouji/28496686816815x.shtml,"【图】
        苹果6Splus 国行64G 金色 支持验机 - 北京二手手机 - 北京58同城",3000
ObjectId(5874c40a251497470c220fdf),2017-01-10,http://bj.58.com/shouji/28523610630574x.shtml,"【图】
        乔布斯经典iPhone 4s 备用机首选 - 北京二手手机 - 北京58同城",360
ObjectId(5874c40a25149736a833af7c),2016-12-28,http://bj.58.com/shouji/28530896794682x.shtml,"【图】
        个人转让 乐视 S3 全网通 原力金 全新未拆封 - 北京二手手机 - 北京58同城",1000
ObjectId(5874c40a251497514085c39d),2016-12-21,http://bj.58.com/shouji/28451585445306x.shtml,"【图】
        华为M9新机 - 北京二手手机 - 北京58同城",3500
ObjectId(5874c40a2514974aa01916c2),2016-12-14,http://bj.58.com/shouji/28333669033774x.shtml,"【图】
        苹果7p 128国行正版 - 北京二手手机 - 北京58同城",6500
ObjectId(5874c40a251497470c220fe0),2017-01-10,http://bj.58.com/shouji/28309560714055x.shtml,"【图】
        全新苹果三星(分期付款零利息)支持二手置换以旧换新尽在手机电脑旗舰店 - 北京二手手机 - 北京58同城",5200
ObjectId(5874c40b25149736a833af7d),2016-12-28,http://bj.58.com/shouji/28530693668149x.shtml,"【图】
        TCL全键盘手机转让买就送 - 北京二手手机 - 北京58同城",60
ObjectId(5874c40b2514974aa01916c3),2016-12-25,http://bj.58.com/shouji/28496729687750x.shtml,"【图】
        三星W2015 国行 正品行货 - 北京二手手机 - 北京58同城",2500
